iter	Passed	Remaining
944	42775	2489
945	42812	2443
946	42846	2397
947	42880	2352
948	42914	2306
949	42949	2260
950	42984	2214
951	43026	2169
952	43062	2123
953	43095	2078
954	43130	2032
955	43164	1986
956	43202	1941
957	43238	1895
958	43281	1850
959	43316	1804
960	43352	1759
961	43387	1713
962	43422	1668
963	43456	1622
964	43499	1577
965	43536	1532
966	43581	1487
967	43637	1442
968	43692	1397
969	43737	1352
970	43770	1307
971	43807	1261
972	43842	1216
973	43876	1171
974	43910	1125
975	43946	1080
976	43986	1035
977	44022	990
978	44057	945
979	44105	900
980	44141	854
981	44178	809
982	44223	764
983	44260	719
984	44302	674
985	44361	629
986	44412	584
987	44457	539
988	44499	494
989	44541	449
990	44577	404
991	44613	359
992	44649	314
993	44695	269
994	44765	224
995	44830	180
996	44873	135
997	44909	89
998	44954	44
999	44989	0
