iter	Passed	Remaining
795	12763	3271
796	12779	3255
797	12796	3239
798	12811	3222
799	12826	3206
800	12841	3190
801	12858	3174
802	12873	3158
803	12889	3142
804	12904	3125
805	12917	3109
806	12935	3093
807	12952	3077
808	12967	3061
809	12986	3046
810	13001	3029
811	13016	3013
812	13032	2997
813	13047	2981
814	13062	2965
815	13076	2948
816	13091	2932
817	13105	2915
818	13120	2899
819	13137	2883
820	13152	2867
821	13168	2851
822	13184	2835
823	13201	2819
824	13216	2803
825	13231	2787
826	13245	2770
827	13259	2754
828	13271	2737
829	13286	2721
830	13303	2705
831	13320	2689
832	13335	2673
833	13350	2657
834	13366	2641
835	13382	2625
836	13397	2609
837	13414	2593
838	13429	2577
839	13444	2560
840	13460	2544
841	13474	2528
842	13491	2512
843	13506	2496
844	13520	2480
845	13535	2463
846	13550	2447
847	13566	2431
848	13582	2415
849	13598	2399
850	13611	2383
851	13628	2367
852	13643	2351
853	13658	2335
854	13672	2318
855	13686	2302
856	13700	2286
857	13715	2269
858	13731	2253
859	13747	2238
860	13764	2222
861	13780	2206
862	13796	2190
863	13812	2174
864	13827	2158
865	13842	2141
866	13859	2126
867	13875	2110
868	13891	2094
869	13906	2077
870	13920	2061
871	13935	2045
872	13948	2029
873	13963	2012
874	13978	1996
875	13998	1981
876	14011	1965
877	14026	1948
878	14042	1932
879	14058	1917
880	14074	1901
881	14091	1885
882	14107	1869
883	14121	1853
884	14135	1836
885	14151	1820
886	14164	1804
887	14177	1788
888	14192	1772
889	14208	1756
890	14224	1740
891	14239	1724
892	14255	1708
893	14271	1692
894	14284	1675
895	14301	1660
896	14317	1644
897	14331	1627
898	14345	1611
899	14360	1595
900	14375	1579
901	14390	1563
902	14406	1547
903	14423	1531
904	14441	1515
905	14456	1499
906	14473	1484
907	14489	1468
908	14507	1452
909	14522	1436
910	14536	1420
911	14551	1404
912	14567	1388
913	14583	1372
914	14599	1356
915	14612	1340
916	14629	1324
917	14648	1308
918	14662	1292
919	14677	1276
920	14698	1260
921	14716	1245
922	14733	1229
923	14748	1213
924	14766	1197
925	14782	1181
926	14798	1165
927	14820	1149
928	14834	1133
929	14849	1117
930	14865	1101
931	14880	1085
932	14897	1069
933	14913	1053
934	14929	1037
935	14945	1021
936	14961	1005
937	14978	990
938	14992	973
939	15008	957
940	15022	941
941	15037	925
942	15051	909
943	15066	893
944	15081	877
945	15096	861
946	15113	845
947	15129	829
948	15146	813
949	15162	798
950	15178	782
951	15195	766
952	15211	750
953	15227	734
954	15242	718
955	15258	702
956	15273	686
957	15287	670
958	15304	654
959	15320	638
960	15334	622
961	15348	606
962	15362	590
963	15378	574
964	15393	558
965	15409	542
966	15426	526
967	15442	510
968	15458	494
969	15474	478
970	15489	462
971	15503	446
972	15521	430
973	15536	414
974	15552	398
975	15566	382
976	15580	366
977	15593	350
978	15607	334
979	15623	318
980	15637	302
981	15652	286
982	15666	270
983	15680	254
984	15692	238
985	15707	223
986	15722	207
987	15736	191
988	15752	175
989	15767	159
990	15782	143
991	15795	127
992	15807	111
993	15821	95
994	15836	79
995	15850	63
996	15864	47
997	15877	31
998	15890	15
999	15905	0
